Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
20-T.Choice,IND,RB,60,19,1.8%,0,0.0%,41,8.9%
54-W.Jefferson,HOU,LB,60,0,0.0%,19,1.9%,41,8.4%
81-T.Gurley,CLE,WR,60,16,1.4%,0,0.0%,44,9.1%
94-J.Mincey,DEN,DL,60,0,0.0%,60,5.3%,0,0.0%
50-L.Foote,PIT,LB,60,0,0.0%,58,5.4%,2,0.4%
19-J.Talley,NYG,WR,59,12,1.2%,0,0.0%,47,10.0%
29-J.Fleming,JAC,DB,59,0,0.0%,1,0.1%,58,12.4%
98-S.Fua,CAR,DL,59,0,0.0%,53,5.2%,6,1.4%
30-T.Wade,NO,DB,59,0,0.0%,35,3.6%,24,5.3%
95-K.Geathers,SD,DL,59,0,0.0%,30,3.0%,29,6.5%
9-S.Wallace,GB,QB,58,58,5.2%,0,0.0%,0,0.0%
22-C.Anderson,DEN,RB,58,21,1.7%,0,0.0%,37,6.9%
14-D.Moye,PIT,WR,57,53,5.0%,0,0.0%,4,0.8%
6-S.Powell,BUF,ST,57,0,0.0%,0,0.0%,57,11.2%
37-D.Campbell,MIA,DB,56,0,0.0%,3,0.3%,53,11.3%
70-B.Massie,ARI,OL,56,56,5.2%,0,0.0%,0,0.0%
33-I.Redman,PIT,RB,56,55,5.2%,0,0.0%,1,0.2%
96-J.Miller,JAC,DL,54,0,0.0%,54,4.8%,0,0.0%
96-T.Jamison,HOU,DL,54,0,0.0%,43,4.2%,11,2.2%
19-B.Walters,SEA,WR,54,50,4.9%,0,0.0%,4,0.9%
36-K.Davis,NE,DB,53,0,0.0%,0,0.0%,53,10.8%
44-T.Clutts,MIA,FB,53,32,3.1%,0,0.0%,21,4.5%
96-J.Howard,KC,DL,53,0,0.0%,48,4.3%,5,1.0%
16-T.Williams,ARI,WR,53,5,0.5%,0,0.0%,48,10.2%
80-J.Ebert,JAC,WR,53,48,4.5%,0,0.0%,5,1.1%
17-B.Osweiler,DEN,QB,52,51,4.2%,0,0.0%,1,0.2%
92-D.Carter,DAL,DL,52,0,0.0%,49,4.3%,3,0.6%
25-K.Barner,CAR,RB,52,24,2.3%,0,0.0%,28,6.6%
64-B.Folkerts,CAR,OL,51,11,1.1%,0,0.0%,40,9.5%
83-S.Williams,SEA,WR,51,51,5.0%,0,0.0%,0,0.0%
26-L.Washington,TEN,RB,51,0,0.0%,0,0.0%,51,10.7%
42-C.Lynch,TEN,DB,51,0,0.0%,0,0.0%,51,10.7%
92-J.Bequette,NE,DL,50,0,0.0%,14,1.2%,36,7.4%
82-Z.Sudfeld,NE,TE,50,45,3.8%,0,0.0%,5,1.0%
52-T.Dobbins,HOU,LB,50,0,0.0%,1,0.1%,49,10.0%
13-T.Yates,HOU,QB,50,50,4.5%,0,0.0%,0,0.0%
10-B.Golden,ARI,WR,50,46,4.2%,0,0.0%,4,0.8%
37-E.Frampton,NO,DB,50,0,0.0%,5,0.5%,45,9.9%
31-M.Thomas,MIA,DB,50,0,0.0%,16,1.4%,34,7.3%
36-K.Ishmael,ATL,DB,50,0,0.0%,3,0.3%,47,10.3%
30-J.Adams,BUF,DB,49,0,0.0%,0,0.0%,49,9.6%
56-M.Wilson,OAK,LB,49,0,0.0%,0,0.0%,49,10.1%
86-D.Jefferson,ARI,TE,49,16,1.5%,0,0.0%,33,7.0%
61-J.Pendleton,IND,DL,47,0,0.0%,40,3.8%,7,1.5%
26-S.Commings,KC,DB,47,0,0.0%,3,0.3%,44,9.1%
56-J.Vega,DAL,DL,47,0,0.0%,46,4.0%,1,0.2%
93-P.Merling,WAS,DL,47,0,0.0%,41,4.0%,6,1.3%
99-J.Powe,KC,DL,46,0,0.0%,40,3.6%,6,1.2%
53-J.Lotulelei,SEA,LB,46,0,0.0%,17,1.6%,29,6.5%
94-D.Smith,SEA,DL,46,0,0.0%,46,4.4%,0,0.0%
85-R.Spadola,NYJ,WR,45,24,2.3%,0,0.0%,21,4.4%
97-I.Aaitui,MIA,DL,45,0,0.0%,35,3.1%,10,2.1%
70-J.Long,DAL,DL,45,0,0.0%,45,4.0%,0,0.0%
29-J.Starling,HOU,DB,44,0,0.0%,0,0.0%,44,9.0%
74-S.Young,JAC,OL,44,1,0.1%,0,0.0%,43,9.2%
79-R.Butler,CLE,OL,44,8,0.7%,0,0.0%,36,7.5%
32-M.Pellerin,TEN,DB,44,0,0.0%,0,0.0%,44,9.3%
55-K.Dawson,TEN,LB,44,0,0.0%,21,2.0%,23,4.8%
70-Da.Thomas,MIA,OL,43,11,1.1%,0,0.0%,32,6.9%
98-A.Toribio,KC,DL,43,0,0.0%,42,3.8%,1,0.2%
46-D.Jones,KC,TE,43,43,4.0%,0,0.0%,0,0.0%
22-K.Bell,GB,RB,43,0,0.0%,0,0.0%,43,8.9%
12-J.Ross,GB,WR,43,7,0.6%,0,0.0%,36,7.4%
57-N.Sundberg,WAS,ST,43,0,0.0%,0,0.0%,43,9.0%
42-D.Cromartie-Smith,PIT,DB,42,0,0.0%,4,0.4%,38,8.0%
10-A.Edwards,CAR,WR,42,41,4.0%,0,0.0%,1,0.2%
29-M.Huff,DEN,DB,42,0,0.0%,40,3.5%,2,0.4%
13-K.Taylor,ARI,WR,41,17,1.6%,0,0.0%,24,5.1%
17-C.Painter,NYG,QB,40,40,3.9%,0,0.0%,0,0.0%
88-R.Whalen,CIN,WR,40,0,0.0%,0,0.0%,40,8.6%
90-M.Austin,MIA,DL,40,0,0.0%,27,2.4%,13,2.8%
